R,G,B,index
57,201,207,0
34,181,212,0
7,234,183,0
38,180,252,0
12,228,188,0
84,230,191,0
51,201,226,0
52,204,251,0
33,241,231,0
58,240,180,0
42,212,186,0
77,186,184,0
14,172,198,0
73,200,192,0
12,241,217,0
58,224,248,0
18,217,207,0
64,174,226,0
4,246,231,0
34,204,219,0
9,181,197,0
34,184,196,0
5,203,241,0
42,244,232,0
75,187,185,0
33,230,247,0
75,225,243,0
72,216,203,0
84,233,225,0
36,251,179,0
20,198,246,0
15,181,193,0
37,250,219,0
13,178,247,0
73,227,197,0
26,236,176,0
44,198,224,0
85,172,208,0
7,215,177,0
79,247,201,0
40,195,232,0
66,255,233,0
61,188,205,0
29,173,205,0
50,193,246,0
6,197,184,0
4,234,229,0
61,181,238,0
40,209,188,0
84,248,230,0
21,246,184,0
72,233,231,0
0,239,248,0
59,204,174,0
11,233,223,0
20,254,245,0
36,216,236,0
9,207,181,0
21,245,219,0
59,218,213,0
27,227,213,0
77,234,223,0
55,243,224,0
29,207,219,0
12,177,253,0
50,230,241,0
56,224,202,0
28,191,214,0
58,188,173,0
50,231,180,0
70,203,213,0
81,251,253,0
59,223,220,0
41,204,200,0
64,203,184,0
26,247,234,0
82,222,180,0
72,220,175,0
53,199,192,0
72,208,232,0
41,243,188,0
7,221,234,0
1,214,217,0
81,248,221,0
65,194,178,0
0,207,246,0
79,234,211,0
3,191,228,0
67,238,207,0
46,195,196,0
64,229,185,0
21,178,200,0
62,203,213,0
82,230,184,0
73,252,212,0
76,185,228,0
79,217,217,0
43,233,248,0
78,226,201,0
60,239,192,0
58,255,206,0
79,247,250,0
33,211,224,0
76,253,227,0
65,203,216,0
78,223,220,0
17,190,210,0
63,213,217,0
27,242,195,0
20,183,187,0
27,194,179,0
46,208,192,0
80,225,226,0
69,181,210,0
70,201,200,0
45,253,206,0
59,237,173,0
34,223,255,0
2,246,249,0
49,174,254,0
26,195,172,0
74,199,229,0
0,231,227,0
36,212,188,0
40,242,253,0
51,226,200,0
38,225,192,0
71,174,210,0
58,233,213,0
80,214,178,0
61,187,193,0
59,205,216,0
84,220,207,0
65,199,172,0
29,201,203,0
37,242,254,0
25,240,235,0
57,175,175,0
46,180,233,0
27,195,231,0
77,249,236,0
48,181,231,0
70,183,228,0
43,181,232,0
56,229,246,0
7,218,195,0
85,248,232,0
76,196,213,0
37,188,237,0
83,229,221,0
29,254,175,0
13,248,203,0
46,241,243,0
77,196,212,0
72,196,201,0
9,172,183,0
14,236,236,0
41,200,175,0
77,211,217,0
1,222,202,0
74,241,232,0
17,228,179,0
38,252,219,0
19,253,249,0
11,222,202,0
75,235,230,0
5,175,236,0
39,229,232,0
49,181,249,0
63,218,187,0
31,180,211,0
37,236,226,0
42,198,246,0
49,242,173,0
53,240,242,0
84,248,222,0
50,173,213,0
51,213,208,0
60,225,191,0
1,221,187,0
19,254,250,0
75,245,209,0
42,183,214,0
7,248,206,0
19,254,188,0
30,188,231,0
69,245,209,0
51,220,192,0
20,243,192,0
53,224,217,0
68,235,242,0
33,189,236,0
52,242,191,0
51,240,180,0
20,174,241,0
5,237,193,0
64,173,202,0
6,181,242,0
68,249,201,0
38,180,200,0
83,234,178,0
32,226,196,0
19,241,245,0
2,222,198,0
74,220,180,0
64,242,227,0
8,205,235,0
27,250,201,0
10,218,198,0
85,193,231,0
47,227,199,0
2,235,255,0
38,246,193,0
17,172,218,0
5,200,249,0
36,214,177,0
24,208,194,0
5,189,230,0
3,224,246,0
6,177,221,0
35,184,197,0
57,232,173,0
72,214,202,0
16,199,197,0
46,185,182,0
77,223,189,0
76,232,189,0
64,200,231,0
28,176,224,0
13,221,219,0
11,214,186,0
37,212,187,0
28,254,218,0
16,245,253,0
64,196,219,0
34,187,194,0
77,233,237,0
30,232,192,0
24,184,201,0
12,193,252,0
5,189,196,0
61,229,248,0
1,210,189,0
70,171,228,0
83,203,199,0
81,211,197,0
16,219,192,0
84,193,193,0
